[07-Apr-2015 00:01:45 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 167 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 202
[07-Apr-2015 00:01:46 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 167 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 202
[07-Apr-2015 00:01:46 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 167 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 202
[07-Apr-2015 00:01:46 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 167 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 202
[07-Apr-2015 00:02:11 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 167 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 202
[07-Apr-2015 00:02:45 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:02:46 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:02:46 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:03:13 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:03:14 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:03:14 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:03:14 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:03:40 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:03:40 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:03:40 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:03:40 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:05:40 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 243
[07-Apr-2015 00:06:12 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 243
[07-Apr-2015 00:06:13 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 243
[07-Apr-2015 00:06:14 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 243
[07-Apr-2015 00:06:14 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 243
[07-Apr-2015 00:06:51 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 243
[07-Apr-2015 00:08:19 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 243
[07-Apr-2015 00:08:41 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 205
[07-Apr-2015 00:08:59 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 206
[07-Apr-2015 00:09:00 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 206
[07-Apr-2015 00:09:00 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 206
[07-Apr-2015 00:09:34 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 206
[07-Apr-2015 00:10:26 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 206
